					
美妝/保養品	UNT	unt.pr@mihoworld.com			
	KATE	mailto:info@sincere-vision.com.tw			
	晶碩光學	Service@pegavision.com 			
	KOSE TAIWAN	sekkiseikose@kose.com.tw			
	Sincere新視野光學	m.me/sincere.vision			
	GATSBY	gatsby@mandom.com.tw			
	蘭吉兒 L'EGERE	service@tsaochee.com.tw			
	Ducato	ck.service@ckgroup.tw			
	drippp 	m.me/drippptw			
	ROSY ROSA	service@rosyrosa.com.tw			
	YOLO!Cosmetic	service@menard.com.tw			
	OGUMA水美媒	service@oguma.com.tw			
	BEVY.C.	service@bevyc.com			
	CANMAKE	m.me/canmaketw			
	1028時尚彩妝	1028visualtherapy@gmail.com			
	Maybelline媚比琳	m.me/maybellinetw			
	Kiss Me 奇士美	m.me/kissme.tw			
	YSL Beauty	https://www.facebook.com/yslbeautetw/			
	ORBIS	https://www.facebook.com/ORBIS.TAIWAN/			
	理膚寶水	https://www.facebook.com/lrptw/			
	SUGARFREE	https://www.facebook.com/sugarfreelikes/ twsugarfree@gmail.com			
	INTEGRATE	https://www.facebook.com/integratetaiwan/			
	碧兒泉	https://www.facebook.com/BIOTHERM.TW/?__tn__=%2Cd%2CP-R&eid=ARA_fPdHRhvhOg4hLWm-F8DsitobNObp2PLB3fyR8Q5pmOdyeppJY3GH4n1-hDZlrmBYTysdop4dggeU			
					
食物	meiji 就是要明治	yessir@taiwango.com.tw			
	Hera Cafe	m.me/heracafe.co			
	Woosa鬆餅屋	m.me/woosa.pancake			
	柒拾貳	現場詢問			
	Lazy Pâtisserie 徠集 手工法式甜點	可議			
	會津屋 日式食堂	marketing@falken.com.tw			
	韓武鍋	shannychen91@naver.com			
	首爾之星	https://www.facebook.com/seoulstar168/			
	拉亞漢堡	layaservice@sunspark-group.com			
	三隻貓頭鷹	https://www.facebook.com/threeowls/			
	羊毛與花	https://www.facebook.com/youmoutoohanacoffee/			
	正暉股份有限公司-明治巧克力	marketing@falken.com.tw			
	濃濃本家	https://www.facebook.com/cranberryfood/			
	萬波島嶼紅茶	https://www.facebook.com/wanpotea.com.tw/			
	閑茗樓	https://www.facebook.com/shianmingdrink			
	Carlsberg Taiwan台灣嘉士伯	http://www.carlsberg-tw.com/Contact_Us.html			
	Bake a Day焙可烘焙實作坊	https://www.facebook.com/bakeaday.taiwan			
	Han’s涵式烘焙	https://www.facebook.com/Sunnyhandmade			
	LAZY U+U工作室	https://www.facebook.com/lazyuu/			
	貓大福	https://www.facebook.com/maneki168neko/			
	義饗食堂	https://www.facebook.com/RegenttaipeiJustItalian/			
	Juicies	https://www.facebook.com/Juicies.Natural.Frozen.Bar			
	Kitchen 66	https://www.facebook.com/kitchen66.23629668/			
	Chic Thai 泰式新定食	https://www.facebook.com/ChicThai166/			
	小紅門麻辣鍋	https://www.facebook.com/紅門宴川味麻辣鴛鴦鍋-398546376887048/			
					
服飾配件	CENTURION旅行箱	line ID:@qld4740k			
	Chi's	n85916@gmail.com			
	LIPPY	line  ID： jlp1190m
 			
	unicorn (男士保養品)	mr.u@unicornskincare.com			
					
	Eva Eva	Line ID：@evaevaacc			
	女主角飾品	nu.zhu.jue@gmail.com			
	Boogie Studio黑膠設計	boogiestudio.vinyl@gmail.com			
	SamengInstyle輕旅哲學	service@sameng.com.tw			
	RIMOWA	cs.rimowa@ornatus.com.tw			
	American Tourister 	Info.Taiwan@samsonite.com			
	LEGEND WALKER　旅行箱	legendwalker.fg@gmail.com			
	犀牛盾手機殼	https://support.rhinoshield.io/hc/zh-tw/requests/new			
	Lucy's	service@lucys.com.tw			
	馬桶國際洋行有限公司	N/A			
	Crystal Ball Taiwan	LINE客服: @dfx3072l			
	JINS Taiwan	info@tw.jins.com			
	OH9台灣黑狗兄-專業運動襪	oh9athletics@gmail.com			
	PICONO Watches & Accessories	service@piconowatches.com			
	手目耳眼鏡SeeMore	m.me/seemore.tw(messenger)			
	YCCT-用心設計好物	service@ycct.com.tw			
	RAINSTORY	rainstoryshop@gmail.com			
	日商布林克詩股份有限公司-ZIP Clothing Store	info@zip-tw.com			
	PackChair可以坐的台灣包	service@friendly-life.com			
	MORR時尚機能風雨衣	service@morr.com.tw			
	禮儀師的髮廊	morticianhair@gmail.com			
	羅亞戴蒙ROYAL DAMON	jewelry.goldbox@msa.hinet.net			
	＊EVOC Taiwan	m.me/evocsportstaiwan			
	KlassiC. EYEWEAR	ray.chen@klassiceyewear.com			
	LeRêve Paris	service@lereveparis.com			
	Kailin	kailin08201222@gmail.com			
					
娛樂	東方不敗	eastking168.web@gmail.com			
	威望國際娛樂-CatchPlay Demand	https://www.facebook.com/catchplay/			
	新天鵝堡桌遊	marketing@swanpanasia.com			
	U2電影館	mmnaicha@u2mtv.com			
	貓咪貓咪CATCAT桌遊娛樂集團	catcat.b2b@gmail.com			
	幻遊天下股份有限公司-瘋桌遊	https://www.facebook.com/phabg/			
	覺醒藝術策展有限公司	https://www.facebook.com/wakeuparts2009/			
	麗星郵輪	calem.ngan@gentingcruiselines.com 			
	哿哿企業股份有限公司-哿哿桌遊	infocontact@gege.com.tw			
					
文具	Dimanche 迪夢奇	dimanche.mv@gmail.com			
	文寶房名品	chen.penhouse@gmail.com			
					
住宿	福容大飯店	pr_ho@fullon-hotels.com.tw			
	原宿時空膠囊旅館	GaryPan.UZhostel@gmail.com			
					
電子產品	Tanker 行動電源	https://www.facebook.com/tankertaiwan			
